S.No.,NepaliDescription,EnglishDescription,Description,Category,Rate (Rs. per 1000),,,,,,,,,,,,,,,,,,,,,,,,
132,र्नन्र्जनियरिङ वकशप (रु दर् करोड सम्मको बीमाङकको लागि मात्र),Engineering Workshop consist of Machine Shop (Turning,Engineering Workshop consist of Machine Shop (Turning र्नन्र्जनियरिङ वकशप (रु दर् करोड सम्मको बीमाङकको लागि मात्र), Milling, Drilling, Grinding, Cutting etc), the Fitting Shop, the Foundry Shop, the Blacksmith, the Welding shop and the with 2 crore sum assured limit,मध्यम जोखिम,3,,,,,,,,,,,,,,,,
133,उि नमल,Woolen Mills,Woolen Mills उि नमल,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
134,उि सफा र्िे तथा नथच्िे,Wool Cleaning and Pressing,Wool Cleaning and Pressing उि सफा र्िे तथा नथच्िे,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
135,ऊि,wool,wool ऊि,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
136,एअिक्राफ्ट ह्याङर्ि,Aircraft Hangers,Aircraft Hangers एअिक्राफ्ट ह्याङर्ि,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
137,कत्था,Katha,Katha कत्था,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
138,कन्फेक्सििी,Confectionary,Confectionary कन्फेक्सििी,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
139,कपिामा वट्टा भि,Embroidery,Embroidery कपिामा वट्टा भि,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
140,कपास तथा कपास प्रशोधि,Cotton and Cotton Procesing,Cotton and Cotton Procesing कपास तथा कपास प्रशोधि,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
141,कनफ केलाउिे, तताउिे, तताउिे कनफ केलाउिे, नपस्िे तथा छोिाउिे,Coffee Curing, Roasting, Grinding and Pulping,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,
142,कवािी,Scrap,Scrap कवािी,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
143,कापेट तथा दिी [अन्य],Carpet and Drugget [Others],Carpet and Drugget [Others] कापेट तथा दिी [अन्य],मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
144,केवल [सबै प्रकािको],Cable [All Kinds],Cable [All Kinds] केवल [सबै प्रकािको],मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
145,कोल्ि स्टोिेर्ज,Cold Storage,Cold Storage कोल्ि स्टोिेर्ज,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
146,खाद्य पसल (ग्यास तथा मट्टीतेल बाहेक),Grocery except Cooking Gas and Kerosene,Grocery except Cooking Gas and Kerosene खाद्य पसल (ग्यास तथा मट्टीतेल बाहेक),मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
147,र्जम, ग्ल तथा ग्यालेटार्ि, ग्ल तथा ग्यालेटार्ि र्जम,Gum/Glue/Gelatine,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,
148,र्जलैंचा, िािी, िािी र्जलैंचा, पाखी,Carpet and Drugget Manufacturing [Cotton/Wool],मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,
149,र्जामेन्ट,Garment,Garment र्जामेन्ट,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
150,र्ज्लावको तेल,RoseOil,RoseOil र्ज्लावको तेल,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
151,चलनचत्र भवि,Cinema Hall,Cinema Hall चलनचत्र भवि,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
152,नचउिा नमल,Beaten Rice Mill,Beaten Rice Mill नचउिा नमल,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
153,नचिी,Sugar,Sugar नचिी,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
154,नचिी क्यान्िी,Sugar Candy,Sugar Candy नचिी क्यान्िी,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
155,नचया ब्लेनन्िङ, प्यानकङ तथा प्रशोधि, प्यानकङ तथा प्रशोधि नचया ब्लेनन्िङ,Tea Blending, Packingand, Tea Processing,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,
156,छाता,Umbrella,Umbrella छाता,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
157,झल,Mosquito Cutrain,Mosquito Cutrain झल,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
158,टाँक,Button,Button टाँक,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
159,टार्पिार्टि रिवि,Typewriter Ribbon,Typewriter Ribbon टार्पिार्टि रिवि,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
160,टेक्स्टार्ल नमल,Textile Mills,Textile Mills टेक्स्टार्ल नमल,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
161,र्जसिा तथा तनकया बिाउिे,Pillow Making,Pillow Making र्जसिा तथा तनकया बिाउिे,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
162,निपाटगमेन्टल स्टोि,Departmental Store,Departmental Store निपाटगमेन्टल स्टोि,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
163,"र्जर्ा,  िर्ाको पाल वा खावो",Boat and Jiggery,"Boat and Jiggery र्जर्ा,  िर्ाको पाल वा खावो",मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
164,र्जेिी तथा िेिी प्लान्ट,Milk Pasteurizing Plants and Dairies,Milk Pasteurizing Plants and Dairies र्जेिी तथा िेिी प्लान्ट,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
165,तयािी कपिा,Readymade Garments,Readymade Garments तयािी कपिा,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
166,तिा,Lace,Lace तिा,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
167,दािा उद्योर्[माछा तथा पशपन्छीको],Fish,Fish दािा उद्योर्[माछा तथा पशपन्छीको], Animal and Birds’ Food,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,
168,दालनचिी,Cinnamon,Cinnamon दालनचिी,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
169,दग्ध उद्योर्,Condensed Milk Factories,Condensed Milk Factories दग्ध उद्योर्,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
170,धाउ प्रशोधि,Ore Processing,Ore Processing धाउ प्रशोधि,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
171,धाउबाट धात छटयाउि तथा धात छटयाउि,Metal Smelting,Metal Smelting धाउबाट धात छटयाउि तथा धात छटयाउि, Extraction and Forging Mills,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,
172,धार्ो,Thread,Thread धार्ो,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
173,धार्ो कािखािा बानहिको लर् प्रशोधि कन्ि,Cloth Processing Units situated Outside the Compound of Textile Mills,Cloth Processing Units situated Outside the Compound of Textile Mills धार्ो कािखािा बानहिको लर् प्रशोधि कन्ि,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
174,धार्ो प्रशोधि,Yarn Processing,Yarn Processing धार्ो प्रशोधि,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
175,धातको छपाई,Metal Printers,Metal Printers धातको छपाई,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
176,धातको पार्प,Metal Pipe,Metal Pipe धातको पार्प,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
177,धातको पार्पलाई नवनभन्ि रूप नदिे,Metal Pipe Extruding,Metal Pipe Extruding धातको पार्पलाई नवनभन्ि रूप नदिे,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
178,धातको लेप लर्ाउिे,Galvanizing Works,Galvanizing Works धातको लेप लर्ाउिे,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
179,धातल मोिि काय,Metallizing works [Involving Metals Only],Metallizing works [Involving Metals Only] धातल मोिि काय,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
180,धाि नमल,Rice Mills,Rice Mills धाि नमल,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
181,र्जाली तथा फोहोि प्रशोधि के न्ि,Effluent/Sewage Treatment Plant,Effluent/Sewage Treatment Plant र्जाली तथा फोहोि प्रशोधि के न्ि,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
182,पत्र धात, सामाि वा भािा पर्ाल्िे, सामाि वा भािा पर्ाल्िे पत्र धात,Scrapt metal, Utensil Melting,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,
183,पाल वा नत्रपाल,Tent,Tent पाल वा नत्रपाल,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
184,पल (काठ तथा नस्टल ) झोलङर् पल बाहक,Bridges (wood and Steel) apart from Suspension Breidge,Bridges (wood and Steel) apart from Suspension Breidge पल (काठ तथा नस्टल ) झोलङर् पल बाहक,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
185,पस्तक तथा पस्तकालय,Book and Library,Book and Library पस्तक तथा पस्तकालय,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
186,प्रकाशि तथा वक बार्नन्िङ,Publication and Book Binding,Publication and Book Binding प्रकाशि तथा वक बार्नन्िङ,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
187,प्रसािण स्टेशि तथा नटभी ि एफएम प्रसािण स्टेशि,Transmission Stations and TV and FM Stations,Transmission Stations and TV and FM Stations प्रसािण स्टेशि तथा नटभी ि एफएम प्रसािण स्टेशि,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
188,फलफल तथा सार्पात सकाउि,Fruit and Vegetable Dryingand Dehydrating,Fruit and Vegetable Dryingand Dehydrating फलफल तथा सार्पात सकाउि,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
189,फलफल तथा फलफलको र्दी निकाल्ि काम,Fruit and fruit pulp making,Fruit and fruit pulp making फलफल तथा फलफलको र्दी निकाल्ि काम,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
190,फलाम, नस्टल, नस्टल फलाम, एल्मनियम, काँस, नपिल, र्जस्ता ि तामा तथा धातर्जन्य उद्योर्,Iron,Steel, Aluminum, Bronze, Brass, Zinc, Copper Industry,मध्यम जोखिम,3,,,,,,,,,,,,,
191,फ्यर्ज,Fuse,Fuse फ्यर्ज,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
192,बट्टा,Canning,Canning बट्टा,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
193,बाय प्रभानवत पािी,Aerated Water,Aerated Water बाय प्रभानवत पािी,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
194,नबऊ,Seed,Seed नबऊ,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
195,बनटक,Boutique,Boutique बनटक,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
196,बिार् र्ि नमल,Weaving Mills,Weaving Mills बिार् र्ि नमल,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
197,बेकिी,Bakery,Bakery बेकिी,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
198,ब्रअिी,Breweries,Breweries ब्रअिी,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
199,ब्रोन्र्ज पाउिि,BronzePowder,BronzePowder ब्रोन्र्ज पाउिि,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
200,मकै ब्राि,Maize Bran,Maize Bran मकै ब्राि,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
201,मखमलको कपिा,Velvet Cloth,Velvet Cloth मखमलको कपिा,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
202,मनदिा,Distilleries,Distilleries मनदिा,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
203,मसला,Curry Spices,Curry Spices मसला,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
204,मसी,Ink,Ink मसी,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
205,माि,Starch,Starch माि,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
206,नमल [अन्ि, दलहि, दलहि नमल [अन्ि, नपठो नपस्िे तथा पोनलस र्िे],Mill [Cereal, Rice, Flour, Dal],मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,
207,मेनिकल सामाि,Medical Equipment,Medical Equipment मेनिकल सामाि,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
208,मैि तथा मैिविी,Wax and Candle,Wax and Candle मैि तथा मैिविी,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
209,मोर्जा तथा होनर्जयािी सामाि,Shocks and Hosiery Goods,Shocks and Hosiery Goods मोर्जा तथा होनर्जयािी सामाि,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
210,मोर्जार्क,Mosaic,Mosaic मोर्जार्क,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
211,र्जलव रयाक,Railways Tracks,Railways Tracks र्जलव रयाक,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
212,र्जेशम तथा कातेको नसल्क नमल,Silk Mills / Spun Silk Mills,Silk Mills / Spun Silk Mills र्जेशम तथा कातेको नसल्क नमल,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
213,लन्ड्री,Laundry,Laundry लन्ड्री,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
214,लर्ा नसलाउिे पसल,Tailor,Tailor लर्ा नसलाउिे पसल,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
215,नवर्जली सम्बन्धी सामाि,Electric Goods,Electric Goods नवर्जली सम्बन्धी सामाि,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
216,नवद्यतीय प्रसािण लार्ि तथा नवतिण,Electric Transmission and Distribution,Electric Transmission and Distribution नवद्यतीय प्रसािण लार्ि तथा नवतिण,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
217,नवद्यतीय सामाि,Electronic Goods,Electronic Goods नवद्यतीय सामाि,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
218,नवस्कट,Biscuit,Biscuit नवस्कट,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
219,वेविेर्ज,Beverage,Beverage वेविेर्ज,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
220,व्यवसायक भवि (पसल भािा प्रयोर्जि तथा व्यवसायक प्रयोर्जिको लागि प्रयोर् हि बह उपयोर्ी भवि),Commercial Building (Multi Purpose commercial Building),Commercial Building (Multi Purpose commercial Building) व्यवसायक भवि (पसल भािा प्रयोर्जि तथा व्यवसायक प्रयोर्जिको लागि प्रयोर् हि बह उपयोर्ी भवि),मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
221,निकेट,Briquettes,Briquettes निकेट,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
222,सख्खि,Khandsari Sugar,Khandsari Sugar सख्खि,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
223,सफ्ट नड्रङक,Soft Drinks,Soft Drinks सफ्ट नड्रङक,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
224,समन्िी खाद्य प्रशोधि,Sea Food Processing,Sea Food Processing समन्िी खाद्य प्रशोधि,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
225,साङनर्नतक उपकिण वा सामाि,Musical Instruments,Musical Instruments साङनर्नतक उपकिण वा सामाि,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
226,नससाकलम,Pencil,Pencil नससाकलम,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
227,सकाउिे वा सख्खा बिाउि,Dehydration,Dehydration सकाउिे वा सख्खा बिाउि,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
228,सख्खा फलर्जस्त: कार्ज, बदम तथा बदाम, बदम तथा बदाम सख्खा फलर्जस्त: कार्ज,Dry Fruit Like: Cashew Nut, Peanuts and Almond,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,
229,सपािी,Betel Nut and Arecanut,Betel Nut and Arecanut सपािी,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
230,सेवई,Vermicellior Spaghetti,Vermicellior Spaghetti सेवई,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
231,सोिा वाटि,Soda Water,Soda Water सोिा वाटि,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
232,सौयग तथा वाय उर्जा,Solar and Wind Engery,Solar and Wind Engery सौयग तथा वाय उर्जा,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
233,स्टेशििी,Stationary,Stationary स्टेशििी,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
234,नस्पनिङ नमल,Spinning Mills,Spinning Mills नस्पनिङ नमल,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
235,हरित र्ह, एल्र्ी तथा नस्पिीनलिा, एल्र्ी तथा नस्पिीनलिा हरित र्ह,Green Houses/ Algae/ Spirulina,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,
236,हनस्पटल र्क्यप्मन्ट तथा सनर्जकल सामािहरु,Hospital Equipment and Surgical Goods,Hospital Equipment and Surgical Goods हनस्पटल र्क्यप्मन्ट तथा सनर्जकल सामािहरु,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
237,हािगवेयि,Hardware,Hardware हािगवेयि,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
238,अलोर् फार्वि,AloeFibers,AloeFibers अलोर् फार्वि,उच्च मध्यम जोखिम,4.5,,,,,,,,,,,,,,,,,,,,,,,,
239,आर्रिस तेल,Iris Oil,Iris Oil आर्रिस तेल,उच्च मध्यम जोखिम,4.5,,,,,,,,,,,,,,,,,,,,,,,,
240,आयोनिि,Iodine,Iodine आयोनिि,उच्च मध्यम जोखिम,4.5,,,,,,,,,,,,,,,,,,,,,,,,
241,र्क्यनप्लटस तल,Eucalyptus Oil,Eucalyptus Oil र्क्यनप्लटस तल,उच्च मध्यम जोखिम,4.5,,,,,,,,,,,,,,,,,,,,,,,,
242,र्नग्िसि किस,Ignition Chords,Ignition Chords र्नग्िसि किस,उच्च मध्यम जोखिम,4.5,,,,,,,,,,,,,,,,,,,,,,,,
243,र्जामेल तथा र्जामेल कोट र्रिएका सामाि,Enamel Ware,Enamel Ware र्जामेल तथा र्जामेल कोट र्रिएका सामाि,उच्च मध्यम जोखिम,4.5,,,,,,,,,,,,,,,,,,,,,,,,
244,एन्र्जेनलका तेल,Angelica Oil,Angelica Oil एन्र्जेनलका तेल,उच्च मध्यम जोखिम,4.5,,,,,,,,,,,,,,,,,,,,,,,,
245,एलनमनियम कावार्ि,Aluminum Carbide,Aluminum Carbide एलनमनियम कावार्ि,उच्च मध्यम जोखिम,4.5,,,,,,,,,,,,,,,,,,,,,,,,
246,एलनमनियम पाउिि [फार्वि],Aluminum Powder/Dust,Aluminum Powder/Dust एलनमनियम पाउिि [फार्वि],उच्च मध्यम जोखिम,4.5,,,,,,,,,,,,,,,,,,,,,,,,
247,औषधी,Drug and Pharmaceuticals,Drug and Pharmaceuticals औषधी,उच्च मध्यम जोखिम,4.5,,,,,,,,,,,,,,,,,,,,,,,,
248,कपि िार्रेट,CopperNitrate,CopperNitrate कपि िार्रेट,उच्च मध्यम जोखिम,4.5,,,,,,,,,,,,,,,,,,,,,,,,
249,ककग,Cork,Cork ककग,उच्च मध्यम जोखिम,4.5,,,,,,,,,,,,,,,,,,,,,,,,
250,कस्मेनटक्स सामाग्री,Cosmetic Item,Cosmetic Item कस्मेनटक्स सामाग्री,उच्च मध्यम जोखिम,4.5,,,,,,,,,,,,,,,,,,,,,,,,
251,काँच [सबै प्रकािको],Glass of all type,Glass of all type काँच [सबै प्रकािको],उच्च मध्यम जोखिम,4.5,,,,,,,,,,,,,,,,,,,,,,,,
252,काँचको कलात्मक सामाि बिाउिे,Art Work of Glass,Art Work of Glass काँचको कलात्मक सामाि बिाउिे,उच्च मध्यम जोखिम,4.5,,,,,,,,,,,,,,,,,,,,,,,,
253,कार्र्ज तथा कािगवोिग नमल,Paper and Cardboard Mills,Paper and Cardboard Mills कार्र्ज तथा कािगवोिग नमल,उच्च मध्यम जोखिम,4.5,,,,,,,,,,,,,,,,,,,,,,,,
254,काठ, काठको सामाि, काठको सामाि काठ, उल उि तथा फनिगचि [स-नमल बाहेक],Wood, Carpenters, Wood Wool, Furniture (Excluding Saw Mill),उच्च मध्यम जोखिम,4.5,,,,,,,,,,,,,,,,,,,
255,काठको नसर्जनिङ, नरटमेन्ट तथा र्म्प्रेग्िेशि, नरटमेन्ट तथा र्म्प्रेग्िेशि काठको नसर्जनिङ,WoodSeasoning/Treatment/ Impregnation Expect Playwood and Venure,उच्च मध्यम जोखिम,4.5,,,,,,,,,,,,,,,,,,,,,,,
256,कािगबोिग वा र्िाको बाकस,Cardboard Box,Cardboard Box कािगबोिग वा र्िाको बाकस,उच्च मध्यम जोखिम,4.5,,,,,,,,,,,,,,,,,,,,,,,,
257,कावगि पेपि,Carbon paper,Carbon paper कावगि पेपि,उच्च मध्यम जोखिम,4.5,,,,,,,,,,,,,,,,,,,,,,,,
258,कनषर्जन्य बस्त (Agricultural Goods): बाँस, बेत, बेत कनषर्जन्य बस्त (Agricultural Goods): बाँस, िरिवलको र्जटा, कपासको पात, नसयिाको पात, घाँस, खि, सिपाट, फोहोि, पतकि, भसा,Bamboo, Cane, Jute, Hey, Straw, Coconut Husk, Cotton Leaf, Siana Leaf, Grass, Fodder, Sunpat, Coir, Mess, Dry Leaves, Hemp,उच्च मध्यम जोखिम,4.5
259,कोवाल्ट िार्रेट,Cobalt Nitrate,Cobalt Nitrate कोवाल्ट िार्रेट,उच्च मध्यम जोखिम,4.5,,,,,,,,,,,,,,,,,,,,,,,,
260,क्यानल्सयम क्लोिेट,Calcium Chlorate,Calcium Chlorate क्यानल्सयम क्लोिेट,उच्च मध्यम जोखिम,4.5,,,,,,,,,,,,,,,,,,,,,,,,
261,क्यानल्सयम पाउिि,Calcium Powder,Calcium Powder क्यानल्सयम पाउिि,उच्च मध्यम जोखिम,4.5,,,,,,,,,,,,,,,,,,,,,,,,
262,क्लोभ तेल,Clove Oil,Clove Oil क्लोभ तेल,उच्च मध्यम जोखिम,4.5,,,,,,,,,,,,,,,,,,,,,,,,
263,क्लोरिि,Chlorine,Chlorine क्लोरिि,उच्च मध्यम जोखिम,4.5,,,,,,,,,,,,,,,,,,,,,,,,
264,खनिर्ज तेल तथा खािे तेल बाहेकका सबै तेल,Mineral Oiland All Oils other than Edible Oil,Mineral Oiland All Oils other than Edible Oil खनिर्ज तेल तथा खािे तेल बाहेकका सबै तेल,उच्च मध्यम जोखिम,4.5,,,,,,,,,,,,,,,,,,,,,,,,
265,खाक्सी, नचल्लो पािे, नचल्लो पािे खाक्सी,Abrasive Manufacturing,उच्च मध्यम जोखिम,4.5,,,,,,,,,,,,,,,,,,,,,,,
266,खािा पकाउि ग्यास बलट बाहक,Cooking Gas except bullet,Cooking Gas except bullet खािा पकाउि ग्यास बलट बाहक,उच्च मध्यम जोखिम,4.5,,,,,,,,,,,,,,,,,,,,,,,,
267,खािेतेल,Edible Oil,Edible Oil खािेतेल,उच्च मध्यम जोखिम,4.5,,,,,,,,,,,,,,,,,,,,,,,,
268,खाम तथा कार्र्जको झोला,Envelope and Paper Bag,Envelope and Paper Bag खाम तथा कार्र्जको झोला,उच्च मध्यम जोखिम,4.5,,,,,,,,,,,,,,,,,,,,,,,,
269,ग्यास होल्िसग, बलट, बलट ग्यास होल्िसग, स्फेयि,Gas Holders/Bullets/Spheres,उच्च मध्यम जोखिम,4.5,,,,,,,,,,,,,,,,,,,,,,
270,ग्रेफार्ट र्लेक्रोि,Graphite Electrode,Graphite Electrode ग्रेफार्ट र्लेक्रोि,उच्च मध्यम जोखिम,4.5,,,,,,,,,,,,,,,,,,,,,,,,
271,नघऊ,Ghee,Ghee नघऊ,उच्च मध्यम जोखिम,4.5,,,,,,,,,,,,,,,,,,,,,,,,
272,चाउनमि, पास्ता वा चाउचाऊ, पास्ता वा चाउचाऊ चाउनमि,Chowmin, Pasta and Noodles,उच्च मध्यम जोखिम,4.5,,,,,,,,,,,,,,,,,,,,,,
273,चीर्जबल्स,Chees Balls,Chees Balls चीर्जबल्स,उच्च मध्यम जोखिम,4.5,,,,,,,,,,,,,,,,,,,,,,,,
274,चिोट तथा नसर्ाि,Cigarette and Cigar,Cigarette and Cigar चिोट तथा नसर्ाि,उच्च मध्यम जोखिम,4.5,,,,,,,,,,,,,,,,,,,,,,,,
275,चिोटको नफल्टि,Cigarette Filter,Cigarette Filter चिोटको नफल्टि,उच्च मध्यम जोखिम,4.5,,,,,,,,,,,,,,,,,,,,,,,,
276,छापाखािा,Press,Press छापाखािा,उच्च मध्यम जोखिम,4.5,,,,,,,,,,,,,,,,,,,,,,,,
277,छाला तथा काँचो छाला , छाला प्रशोधि, छाला प्रशोधि छाला तथा काँचो छाला ,Hides and Skins, Tanneries,उच्च मध्यम जोखिम,4.5,,,,,,,,,,,,,,,,,,,,,,
278,र्जनस्मि तेल,Jasmine Oil,Jasmine Oil र्जनस्मि तेल,उच्च मध्यम जोखिम,4.5,,,,,,,,,,,,,,,,,,,,,,,,
279,नर्जक िार्रट,Zinc Nitrate,Zinc Nitrate नर्जक िार्रट,उच्च मध्यम जोखिम,4.5,,,,,,,,,,,,,,,,,,,,,,,,
280,नर्जङक पाउिि,Zinc Powder,Zinc Powder नर्जङक पाउिि,उच्च मध्यम जोखिम,4.5,,,,,,,,,,,,,,,,,,,,,,,,
281,नर्जङक पिोअक्सार्ि,Zinc Peroxide,Zinc Peroxide नर्जङक पिोअक्सार्ि,उच्च मध्यम जोखिम,4.5,,,,,,,,,,,,,,,,,,,,,,,,
