S.No.,NepaliDescription,EnglishDescription,Description,Category,Rate (Rs. per 1000),,,,,,,,,,,,,,,,,,,,,,,,
413,माल्ट निकाल्िे प्लान्ट,Malt Extraction Plants,Malt Extraction Plants माल्ट निकाल्िे प्लान्ट,न्यि खतिार्जन्य जोखिम,5.5,,,,,,,,,,,,,,,,,,,,,,,,
414,नमथार्लेटेि नस्परिट,Methylated Spirit,Methylated Spirit नमथार्लेटेि नस्परिट,न्यि खतिार्जन्य जोखिम,5.5,,,,,,,,,,,,,,,,,,,,,,,,
415,सनमल,Saw Mills,Saw Mills सनमल,न्यि खतिार्जन्य जोखिम,5.5,,,,,,,,,,,,,,,,,,,,,,,,
416,सकगस,Circus,Circus सकगस,न्यि खतिार्जन्य जोखिम,5.5,,,,,,,,,,,,,,,,,,,,,,,,
417,सवािी साधिको उत्पादि,Automobile Production,Automobile Production सवािी साधिको उत्पादि,न्यि खतिार्जन्य जोखिम,5.5,,,,,,,,,,,,,,,,,,,,,,,,
418,साङनर्नतक समािोह, साँस्कनतक कायक्रम, साँस्कनतक कायक्रम साङनर्नतक समािोह,Music Concert and Cultural Program,न्यि खतिार्जन्य जोखिम,5.5,,,,,,,,,,,,,,,,,,,,,,,
419,सावगर्जनिक कायगक्रम,Public Program,Public Program सावगर्जनिक कायगक्रम,न्यि खतिार्जन्य जोखिम,5.5,,,,,,,,,,,,,,,,,,,,,,,,
420,नसट मेटल फ्यानिकेटसग,Sheet Metal Fabricators,Sheet Metal Fabricators नसट मेटल फ्यानिकेटसग,न्यि खतिार्जन्य जोखिम,5.5,,,,,,,,,,,,,,,,,,,,,,,,
421,स्टनन्सल पपि तथा िनप्लकनटङ,Duplicating/stencil Paper,Duplicating/stencil Paper स्टनन्सल पपि तथा िनप्लकनटङ,न्यि खतिार्जन्य जोखिम,5.5,,,,,,,,,,,,,,,,,,,,,,,,
422,स्रक्चिल नस्टल फ्यानिकेटसग,Structural Steel Fabricators,Structural Steel Fabricators स्रक्चिल नस्टल फ्यानिकेटसग,न्यि खतिार्जन्य जोखिम,5.5,,,,,,,,,,,,,,,,,,,,,,,,
423,स्प्रे पेनन्टङ तथा पाउिि कोनटङ,Spray Painting and Powder Coating,Spray Painting and Powder Coating स्प्रे पेनन्टङ तथा पाउिि कोनटङ,न्यि खतिार्जन्य जोखिम,5.5,,,,,,,,,,,,,,,,,,,,,,,,
424,हार्गड्रोक्लोरिक एनसि,Hydrochloric Acid,Hydrochloric Acid हार्गड्रोक्लोरिक एनसि,न्यि खतिार्जन्य जोखिम,5.5,,,,,,,,,,,,,,,,,,,,,,,,
425,32ºC वा 32ºC देनख 65ºC सम्मको तापक्रममा बल्िे प्रज्वलिशील पदाथग,Flammable liquids having flash points between 32ºC to 65ºC.,Flammable liquids having flash points between 32ºC to 65ºC. 32ºC वा 32ºC देनख 65ºC सम्मको तापक्रममा बल्िे प्रज्वलिशील पदाथग,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
426,अनक्सर्जि सनहतको अनक्सिार्नर्जङ एर्जेन्ट,Oxidizing Agents and Oxygen,Oxidizing Agents and Oxygen अनक्सर्जि सनहतको अनक्सिार्नर्जङ एर्जेन्ट,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
427,आिनिएक्स [रिमोट निटोिेटेि एक्स्प्लोनसभ],RDX [Remote Detonated Explosive],RDX [Remote Detonated Explosive] आिनिएक्स [रिमोट निटोिेटेि एक्स्प्लोनसभ],मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
428,र्ज्थि,Ether,Ether र्ज्थि,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
429,र्ज्थार्नलि िार्रेट,Ethylene Nitrate,Ethylene Nitrate र्ज्थार्नलि िार्रेट,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
430,र्ज्न्स्टयािण्ट र्नग्िसि किग,Instant Ignition Chord,Instant Ignition Chord र्ज्न्स्टयािण्ट र्नग्िसि किग,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
431,एमोनियम क्लोिेट,Ammonium Chlorate,Ammonium Chlorate एमोनियम क्लोिेट,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
432,एमोनियम िार्रेट,Ammonium Nitrate,Ammonium Nitrate एमोनियम िार्रेट,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
433,एमोनियम िार्रेट एक्स्प्लोनसभ,Ammonium Nitrate Explosive,Ammonium Nitrate Explosive एमोनियम िार्रेट एक्स्प्लोनसभ,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
434,एमोनियम पिक्लोिेट,Ammonium Perchlorate,Ammonium Perchlorate एमोनियम पिक्लोिेट,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
435,एलमनियम तथा म्याग्िेनसयम पाउिि प्लान्ट,Aluminum/ Magnesium Powder Plants,Aluminum/ Magnesium Powder Plants एलमनियम तथा म्याग्िेनसयम पाउिि प्लान्ट,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
436,औद्योनर्क सल्भेन्ट,Industrial Solvent,Industrial Solvent औद्योनर्क सल्भेन्ट,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
437,किा अनक्सिार्नर्जङ एर्जन्टस,Strong Oxidizing Agents,Strong Oxidizing Agents किा अनक्सिार्नर्जङ एर्जन्टस,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
438,कपि कावागर्ि,Copper Carbide,Copper Carbide कपि कावागर्ि,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
439,कपि,Camphor,Camphor कपि,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
440,कनतम िशम तथा फार्वि,Rayon Fiberor Fiber,Rayon Fiberor Fiber कनतम िशम तथा फार्वि,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
441,क्यानल्सयम क्लोिार्ि,Calcium Chloride,Calcium Chloride क्यानल्सयम क्लोिार्ि,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
442,क्यानल्सयम िार्रेट एक्स्प्लोनसभ,Calcium Nitrate Explosive,Calcium Nitrate Explosive क्यानल्सयम िार्रेट एक्स्प्लोनसभ,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
443,क्लोिेट एक्स्पोनसभ,Chlorate Explosive,Chlorate Explosive क्लोिेट एक्स्पोनसभ,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
444,खतिापणग सामािको फोहोि,Waste of Hazardous Materials,Waste of Hazardous Materials खतिापणग सामािको फोहोि,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
445,खािीको लागि आवश्यक नवस्फोटक,Mining Charges,Mining Charges खािीको लागि आवश्यक नवस्फोटक,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
446,र्जि कटि,Gun Cotton,Gun Cotton र्जि कटि,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
447,र्जि कटि सोलसि,Gun Cotton Solution,Gun Cotton Solution र्जि कटि सोलसि,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
448,र्जि पाउिि,Gun Powder,Gun Powder र्जि पाउिि,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
449,ग्यालनटिार्ज्ि निरोसललोर्ज पाउिि,Gelatinezed Nitrocellulose Powder,Gelatinezed Nitrocellulose Powder ग्यालनटिार्ज्ि निरोसललोर्ज पाउिि,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
450,नग्लनसरिि िार्रेट,Glycerin Nitrate,Glycerin Nitrate नग्लनसरिि िार्रेट,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
451,नर्जङक पार्क्रट,ZincPicrate,ZincPicrate नर्जङक पार्क्रट,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
452,नर्जङक फस्फार्ि,Zinc Phosphide,Zinc Phosphide नर्जङक फस्फार्ि,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
453,नर्जकोनियम हार्ड्रार्ि,Zirconium Hydride,Zirconium Hydride नर्जकोनियम हार्ड्रार्ि,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
454,नटटानियम हार्ड्रार्ि,Titanium Hydride,Titanium Hydride नटटानियम हार्ड्रार्ि,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
455,टीएिटी,TNT,TNT टीएिटी,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
456,टेरािार्रोिार्नलि,Tetranitroniline,Tetranitroniline टेरािार्रोिार्नलि,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
457,टेरािार्रोिाप्थानलि,Tetranitronaphthalene,Tetranitronaphthalene टेरािार्रोिाप्थानलि,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
458,टेरािार्रोिाप्थानलि,Tetranitronapthalene,Tetranitronapthalene टेरािार्रोिाप्थानलि,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
459,टेरािार्रोनफिोल,Tetranitrophenol,Tetranitrophenol टेरािार्रोनफिोल,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
460,टेरािार्रोवेन्र्जेि,Tetranitrobenzene,Tetranitrobenzene टेरािार्रोवेन्र्जेि,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
461,रार्िार्रोनग्लनसरिि,Trinitroglycerin,Trinitroglycerin रार्िार्रोनग्लनसरिि,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
462,रार्िार्रोटलि,Trinitotulene,Trinitotulene रार्िार्रोटलि,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
463,रार्िार्रोनफिोल,Trinitrophenol,Trinitrophenol रार्िार्रोनफिोल,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
464,रार्िार्रोफेिोलनमथार्लार्िार्रामार्ि,Trinitrophenolmethylinitramine,Trinitrophenolmethylinitramine रार्िार्रोफेिोलनमथार्लार्िार्रामार्ि,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
465,रार्िार्रोसललोर्ज,Trinitrocellulose,Trinitrocellulose रार्िार्रोसललोर्ज,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
466,रार्प्रोपार्लनमनियम,Tripropyluminum,Tripropyluminum रार्प्रोपार्लनमनियम,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
467,र्जार्िार्रो ग्लार्कोल,Dinitro Glycol,Dinitro Glycol र्जार्िार्रो ग्लार्कोल,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
468,र्जार्निरो नग्लनसरिि,Dinitro Glycirne,Dinitro Glycirne र्जार्निरो नग्लनसरिि,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
469,र्जायिामार्ट,Dynamite,Dynamite र्जायिामार्ट,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
470,र्जेटोिेटि,Detonators,Detonators र्जेटोिेटि,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
471,तािनपि निस्टीलिी,Rosin Distilleries,Rosin Distilleries तािनपि निस्टीलिी,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
472,र्जार्रस [सबै प्रकािको],Nitrites of all Kinds,Nitrites of all Kinds र्जार्रस [सबै प्रकािको],मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
473,र्जार्रेट एक्स्प्लोनसभ्स,Nitrate Explosives,Nitrate Explosives र्जार्रेट एक्स्प्लोनसभ्स,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
474,र्जार्रो सर्ि,NitroSugar,NitroSugar र्जार्रो सर्ि,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
475,र्जार्रो स्टाचग,NitroStarch,NitroStarch र्जार्रो स्टाचग,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
476,र्जार्रोनग्लनसरिि,Nitroglycerine,Nitroglycerine र्जार्रोनग्लनसरिि,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
477,र्जार्रोनग्लनसरिि पाउिि,Nitroglycirine Powder,Nitroglycirine Powder र्जार्रोनग्लनसरिि पाउिि,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
478,र्जार्रोर्जि क्लोिार्ि,Nitrogen Chloride,Nitrogen Chloride र्जार्रोर्जि क्लोिार्ि,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
479,र्जार्रोर्जि रार्क्लोिार्ि,Nitrogen Trichloride,Nitrogen Trichloride र्जार्रोर्जि रार्क्लोिार्ि,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
480,निरो कावोिार्रेट,Nitro Carbonitrate,Nitro Carbonitrate निरो कावोिार्रेट,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
481,निरो सललोर्ज वस्त,Nitro Cellulose Products,Nitro Cellulose Products निरो सललोर्ज वस्त,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
482,निरोर्ेलानटि िायिामार्ट,Nitrogelatine Dynamite,Nitrogelatine Dynamite निरोर्ेलानटि िायिामार्ट,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
483,निरोसललोर्ज,Nitrocellulose,Nitrocellulose निरोसललोर्ज,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
484,पिकाउि सामग्री (बन्दकमा िाख्ि),Explosive Charges,Explosive Charges पिकाउि सामग्री (बन्दकमा िाख्ि),मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
485,पक्यनसयि क्याप्सल्स,Percussion Capsules,Percussion Capsules पक्यनसयि क्याप्सल्स,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
486,पक्रोमटस,Perchromates,Perchromates पक्रोमटस,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
487,पक्लोरिक एनसि,Perchloric Acid,Perchloric Acid पक्लोरिक एनसि,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
488,पक्लोिेट [सबै प्रकािको],Perchlorate of all Kind,Perchlorate of all Kind पक्लोिेट [सबै प्रकािको],मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
489,पक्लोिेट नवस्फोटक,Perchlorate Explosives,Perchlorate Explosives पक्लोिेट नवस्फोटक,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
490,पािीको सम्पकगमा आँउदा प्रज्विशील ग्यास निकाल्िे पदाथग,Materials which evolves Combustible Gases in Contact of Water,Materials which evolves Combustible Gases in Contact of Water पािीको सम्पकगमा आँउदा प्रज्विशील ग्यास निकाल्िे पदाथग,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
491,पेरोके नमकल,Petrochemicals,Petrochemicals पेरोके नमकल,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
492,पोटानसयम,Potassium,Potassium पोटानसयम,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
493,पोटानसयम अमाल्र्म,Potassium Amalgam,Potassium Amalgam पोटानसयम अमाल्र्म,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
494,पोटानसयम हार्ड्रार्ि,Potassium Hydride,Potassium Hydride पोटानसयम हार्ड्रार्ि,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
495,प्रज्वलिशील ग्यास,Combustible Gases,Combustible Gases प्रज्वलिशील ग्यास,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
496,प्रज्वलिशील निनस्क्रय ग्याँस,Inert Gases- Combustible,Inert Gases- Combustible प्रज्वलिशील निनस्क्रय ग्याँस,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
497,प्रार्मसग [नवस्फोटक],Primers,Primers प्रार्मसग [नवस्फोटक],मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
498,फस्फार्िस,Phosphides,Phosphides फस्फार्िस,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
499,फस्फार्ि,Phosphine,Phosphine फस्फार्ि,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
500,फस्फोिस [पहे ँलो वा सेतो],Phosphorus [Yellow or White],Phosphorus [Yellow or White] फस्फोिस [पहे ँलो वा सेतो],मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
501,मरट्टतेल, निर्जल , निर्जल  मरट्टतेल,पेरोल,Kerosene, Diesel ,Petrol,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,
502,मक्यरिक क्यािट,Mercuric Cyanate,Mercuric Cyanate मक्यरिक क्यािट,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
503,यरिया पिोअक्सार्ि,Urea Peroxide,Urea Peroxide यरिया पिोअक्सार्ि,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
504,लाहा,Lac or Shellac,Lac or Shellac लाहा,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
505,नलि रार्िार्रोिेसोनसगिेट,Lead Trinitroresorcinate,Lead Trinitroresorcinate नलि रार्िार्रोिेसोनसगिेट,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
506,नलनथयम एलनमनियम हार्ड्रार्ि,Lithium Aluminum Hydride,Lithium Aluminum Hydride नलनथयम एलनमनियम हार्ड्रार्ि,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
507,नविी,Beedi,Beedi नविी,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
508,सक्रमण प्रतििोनध तिल तथा तिल नकटिाशक,Disinfectant Liquids and Liquid Insecticides,Disinfectant Liquids and Liquid Insecticides सक्रमण प्रतििोनध तिल तथा तिल नकटिाशक,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
509,साल्टनपटि ब्लानस्टङ पाउिि,Saltpeter Blasting Powder,Saltpeter Blasting Powder साल्टनपटि ब्लानस्टङ पाउिि,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
510,नसल्भि एनसटार्नलि,Silver Acetylene,Silver Acetylene नसल्भि एनसटार्नलि,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
511,सर्ि िार्रट,Sugar Nitrate,Sugar Nitrate सर्ि िार्रट,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
512,सफ्टी एक्स्क्लनसभ,Safety Exclusive,Safety Exclusive सफ्टी एक्स्क्लनसभ,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
513,सोनियम,Sodium,Sodium सोनियम,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
514,सोनियम िार्िार्रो नफिोल,Sodium Dinitro Phenol,Sodium Dinitro Phenol सोनियम िार्िार्रो नफिोल,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
515,सोनियम हार्ड्रार्ि,Sodium Hydride,Sodium Hydride सोनियम हार्ड्रार्ि,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
516,सोनियम हार्पोसल्फार्ि,Sodium Hyposulphide,Sodium Hyposulphide सोनियम हार्पोसल्फार्ि,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
517,स्टाचग िार्रेट,Start Nitrate,Start Nitrate स्टाचग िार्रेट,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
518,हनतयाि तथा र्ोनलर्ठ्ठा,Arms and Ammunitions,Arms and Ammunitions हनतयाि तथा र्ोनलर्ठ्ठा,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
519,हार्ड्रार्िस,Hydrides,Hydrides हार्ड्रार्िस,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
520,हार्ड्रोर्जि क्यािार्ि,Hydrogen Cyanide,Hydrogen Cyanide हार्ड्रोर्जि क्यािार्ि,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
521,हार्ड्रोर्जि पेिोअक्सार्ि,Hydrogen Peroxide,Hydrogen Peroxide हार्ड्रोर्जि पेिोअक्सार्ि,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
522,हार्ड्रोर्जि सल्फार्ि,Hydrogen Sulphide,Hydrogen Sulphide हार्ड्रोर्जि सल्फार्ि,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
523,हार्ड्रोनलथ,Hydrolith,Hydrolith हार्ड्रोनलथ,मध्यम खतिार्जन्य जोखिम,7.5,,,,,,,,,,,,,,,,,,,,,,,,
524,पार्िोटेनक्िक पदाथग,Pyrotechnic materials,Pyrotechnic materials पार्िोटेनक्िक पदाथग,उच्च खतिार्जन्य जोखिम,9,,,,,,,,,,,,,,,,,,,,,,,,
525,आफैं बल्िे पदाथग,Materials which are self ignitable,Materials which are self ignitable आफैं बल्िे पदाथग,उच्च खतिार्जन्य जोखिम,9,,,,,,,,,,,,,,,,,,,,,,,,
526,उच्च ज्वलिशील औद्योनर्क ग्यास,High Flamable Industrial Gas,High Flamable Industrial Gas उच्च ज्वलिशील औद्योनर्क ग्यास,उच्च खतिार्जन्य जोखिम,9,,,,,,,,,,,,,,,,,,,,,,,,
527,कटि नर्जि तथा प्रेस हाउस,Cotton Gin and Press Houses,Cotton Gin and Press Houses कटि नर्जि तथा प्रेस हाउस,उच्च खतिार्जन्य जोखिम,9,,,,,,,,,,,,,,,,,,,,,,,,
528,"प्लार्उि,  काठलाई िाम्रो पािे तथा ल्यानमिेट र्िे",Plywood / Wood Veneering Factories/ Laminating,"Plywood / Wood Veneering Factories/ Laminating प्लार्उि,  काठलाई िाम्रो पािे तथा ल्यानमिेट र्िे",उच्च खतिार्जन्य जोखिम,9,,,,,,,,,,,,,,,,,,,,,,,,
529,"भईचम्पा,  पटका तथा आनतसबार्जी",Crackers and Fire Works,"Crackers and Fire Works भईचम्पा,  पटका तथा आनतसबार्जी",उच्च खतिार्जन्य जोखिम,9,,,,,,,,,,,,,,,,,,,,,,,,
530,मानथ उल्लनखत बाहकका स्वर्जलि हि प्रज्वलिशील पदाथ,Self-Ignitable or Spontaneous Combustible Materials other than abvoe Listed,Self-Ignitable or Spontaneous Combustible Materials other than abvoe Listed मानथ उल्लनखत बाहकका स्वर्जलि हि प्रज्वलिशील पदाथ,उच्च खतिार्जन्य जोखिम,9,,,,,,,,,,,,,,,,,,,,,,,,
531,यिनियम तथा यिनियम र्जस्त पदाथ,Uranium and similar products,Uranium and similar products यिनियम तथा यिनियम र्जस्त पदाथ,उच्च खतिार्जन्य जोखिम,9,,,,,,,,,,,,,,,,,,,,,,,,
532,नवद्यत उत्पादि कन्ि (आणनवक भरट्ट बाट नवद्यत उत्पादि र्ि के न्ि),electricity PowerHouse - Aotmic Power Plant only,electricity PowerHouse - Aotmic Power Plant only नवद्यत उत्पादि कन्ि (आणनवक भरट्ट बाट नवद्यत उत्पादि र्ि के न्ि),उच्च खतिार्जन्य जोखिम,9,,,,,,,,,,,,,,,,,,,,,,,,
533,नवस्फोटक तथा नवस्फोटक पदाथग,Explosives of any Kind and Blasting Materials,Explosives of any Kind and Blasting Materials नवस्फोटक तथा नवस्फोटक पदाथग,उच्च खतिार्जन्य जोखिम,9,,,,,,,,,,,,,,,,,,,,,,,,
534,नवस्फोटक पदाथग बिाउिे िसायि,Pyrotechnic Chemical,Pyrotechnic Chemical नवस्फोटक पदाथग बिाउिे िसायि,उच्च खतिार्जन्य जोखिम,9,,,,,,,,,,,,,,,,,,,,,,,,
535,सलाई,Matches,Matches सलाई,उच्च खतिार्जन्य जोखिम,9,,,,,,,,,,,,,,,,,,,,,,,,
536,सशि अनक्सिार्नर्जङ एर्जन्ट,Strong Oxidising Agents,Strong Oxidising Agents सशि अनक्सिार्नर्जङ एर्जन्ट,उच्च खतिार्जन्य जोखिम,9,,,,,,,,,,,,,,,,,,,,,,,,
537,सललोर्ि,Celluloid,Celluloid सललोर्ि,उच्च खतिार्जन्य जोखिम,9,,,,,,,,,,,,,,,,,,,,,,,,
538,सेललोर्ि नफल्म,Celluloid Film,Celluloid Film सेललोर्ि नफल्म,उच्च खतिार्जन्य जोखिम,9,,,,,,,,,,,,,,,,,,,,,,,,
539,सललोर्ि सामाि,Celluloid Goods,Celluloid Goods सललोर्ि सामाि,उच्च खतिार्जन्य जोखिम,9,,,,,,,,,,,,,,,,,,,,,,,,
